Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude
Yxa,574980_HST,34000,Undernummer: Bj 865,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Skelettgrav,865,Historiska museet,Yxa - 224,https://samlingar.shm.se/object/A4269903-221D-4B2C-BC85-62A20FC08BC5,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1100,Vikingatid,574980_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Skelettgrav, Grav, Kistgrav: 865",Bj 865,"Stolpe, Hjalmar",,,,,,,
Spjut,575136_HST,34000,Undernummer: Bj 116,"Järn, Trä, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,116,Historiska museet,Spjut - 225,https://samlingar.shm.se/object/B1505AB2-2E2B-40B1-8D41-348CB6E1649A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,575136_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Hög: 116",Bj 116,"Stolpe, Hjalmar",1875,,11,,,,
Rundsköld,578348_HST,34000,Undernummer: Bj 886,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,886,Historiska museet,Rundsköld - 226,https://samlingar.shm.se/object/B2BA955B-B9CB-4AA7-8EB6-03D4D0E1A48E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,578348_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Stensättning: 886",Bj 886,"Stolpe, Hjalmar",,,13,,,,
Svärd Petersen Y,568917_HST,34000,Undernummer: Bj 832,"Järn, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,832,Historiska museet,Svärd Petersen Y - 227,https://samlingar.shm.se/object/E0DE5B6F-2945-4AB4-BB4F-060C5F835277,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,568917_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 832",Bj 832,"Stolpe, Hjalmar",1879,,20,,,,
vapenkniv/vapenknivslida,568920_HST,34000,Undernummer: Bj 832,"Järn, Cu-legering, Läder, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,832,Historiska museet,vapenkniv/vapenknivslida - 228,https://samlingar.shm.se/object/0A4836D3-1C33-44CD-BFC9-E3FD9D5A0E4E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,568920_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 832",Bj 832,"Stolpe, Hjalmar",1879,,5,,,,
Vapenkniv,569127_HST,34000,Undernummer: Bj 834,"Järn, Brons, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,834,Historiska museet,Vapenkniv - 229,https://samlingar.shm.se/object/E2FE79D8-82FD-4543-BBB0-469B1E6BDEEE,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,569127_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 834",Bj 834,"Stolpe, Hjalmar",1879,,30,,,,
Rundsköld,434179_HST,34000,Undernummer: Bj 532,Brons,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,532,Historiska museet,Rundsköld - 230,https://samlingar.shm.se/object/DEE6AA0E-F9C5-40C1-8B1E-D9144E80D0E8,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,434179_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 532",Bj 532,"Stolpe, Hjalmar",1878,,,,,,
Rundsköld,555246_HST,34000,Undernummer: Bj 495,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,495,Historiska museet,Rundsköld - 231,https://samlingar.shm.se/object/B10CA4F8-E45F-4B14-BB85-C8A6DA46906C,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,555246_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 495",Bj 495,"Stolpe, Hjalmar",1876,Diameter 150 mm,,,,,
Svärdsslida,555553_HST,34000,Undernummer: Bj 496,"Brons, Textil","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,496,Historiska museet,Svärdsslida - 232,https://samlingar.shm.se/object/0BE9627D-B00E-48A1-800D-69B7CF0C1B94,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,555553_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 496",Bj 496,"Stolpe, Hjalmar",1876,,,,,,
Spjut,555845_HST,34000,Undernummer: Bj 510,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,510,Historiska museet,Spjut - 233,https://samlingar.shm.se/object/9DFE6A1F-E5B6-4EF4-AF83-1CD57504092D,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,555845_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 510",Bj 510,"Stolpe, Hjalmar",1877,,,,,,
Pil,556045_HST,34000,Undernummer: Bj 512,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Skelettgrav,512,Historiska museet,Pil - 234,https://samlingar.shm.se/object/359583B0-F44B-4DF5-98B1-5D1E55D0990F,Vapen och rustningar  Arkeologisk samling,3,800 – 1100,Vikingatid,556045_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Skelettgrav, Grav, Obekant yttre gravskick: 512",Bj 512,"Stolpe, Hjalmar",1877,,,,,,
pil/pilkoger,548501_HST,34000,Undernummer: Bj 1069,"Järn, Läder","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Skelettgrav,1069,Historiska museet,pil/pilkoger - 235,https://samlingar.shm.se/object/AB5A1AFF-783A-44FF-B875-5CB6C483F857,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,548501_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Skelettgrav, Grav, Hög: 1069",Bj 1069,"Stolpe, Hjalmar",1881,,19,,,,
Yxa,549459_HST,12426,Undernummer: M:II,Järn,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:II,Historiska museet,Yxa - 236,https://samlingar.shm.se/object/6B7C3279-8EE4-4EFC-B0FB-7E880E071598,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,549459_HST,,12426,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,,1905,"Plats: Rösta, Fornlämning: L1945:291, Socken: Ås socken, Kommun: Krokom kommun, Landskap: Jämtland, Land: Sverige",Grav: M:II,,,,,,59.6128374,17.2689711,46.3144754,11.0480288
Spjutspets Petersen C,574474_HST,34000,Undernummer: Bj 605B,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,605B,Historiska museet,Spjutspets Petersen C - 237,https://samlingar.shm.se/object/7A9A56BA-7D38-467E-ABB0-986DD9FC79D4,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,574474_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 605B",Bj 605B,"Stolpe, Hjalmar",1878,,,,,,
Rundsköld,571672_HST,34000,Undernummer: Bj 842,"Järn, Brons","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,842,Historiska museet,Rundsköld - 238,https://samlingar.shm.se/object/F1B0468B-DBD6-4F60-8339-10E117A6BFC3,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,571672_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 842",Bj 842,"Stolpe, Hjalmar",,,12,,,,
Spjut,571671_HST,34000,Undernummer: Bj 842,"Järn, Brons","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,842,Historiska museet,Spjut - 239,https://samlingar.shm.se/object/FCE4C079-3044-4FB6-B5C6-4640A1DF03FF,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,571671_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 842",Bj 842,"Stolpe, Hjalmar",,,1,,,,
Rundsköld,560869_HST,34000,Undernummer: Bj 573,"Järn, Trä","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,573,Historiska museet,Rundsköld - 240,https://samlingar.shm.se/object/AC879074-F1C0-4574-AA30-9AA3299979DA,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,560869_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 573",Bj 573,"Stolpe, Hjalmar",1878,,18,,,,
Pil,561392_HST,34000,Undernummer: Bj 581,"Järn, Silver","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,581,Historiska museet,Pil - 241,https://samlingar.shm.se/object/79EFB4D6-2B68-482F-BFEA-D083E65E0FF5,Vapen och rustningar  Arkeologisk samling,10,800 – 1100,Vikingatid,561392_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 581",Bj 581,"Stolpe, Hjalmar",1878,Längd 132 mm  Bredd 7 mm  Längd 150 mm  Bredd 23 mm,,,,,
Svärd Petersen V,548884_HST,16807,Fyndnummer: 1,Järn,Utanmyra,L2000:9251,Sollerön socken,Dalarna,Sverige,Grav,1,Historiska museet,Svärd Petersen V - 242,https://samlingar.shm.se/object/DE25DD67-9FD7-4F1D-A01C-827882C37267,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,548884_HST,,16807,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16807,,1922,"Plats: Utanmyra, Fornlämning: L2000:9251, Socken: Sollerön socken, Kommun: Mora kommun, Landskap: Dalarna, Land: Sverige",Grav: 1,,,,,,60.928592,14.6017343,46.3144754,11.0480288
pil/isbrodd,548358_HST,34000,Undernummer: Bj 1067,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,1067,Historiska museet,pil/isbrodd - 243,https://samlingar.shm.se/object/50414B47-1D39-4DBA-A748-3F2173C96245,Vapen och rustningar  Transport och samfärdsel  Arkeologisk samling,2,800 – 1100,Vikingatid,548358_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Flatmarksgrav: 1067",Bj 1067,"Stolpe, Hjalmar",1881,,10,,,,
Rundsköld,568938_HST,34000,Undernummer: Bj 832,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,832,Historiska museet,Rundsköld - 244,https://samlingar.shm.se/object/8C8CEF00-AA8A-4E28-91F5-212940C1741E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,568938_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 832",Bj 832,"Stolpe, Hjalmar",1879,,,,,,
Rundsköld,568940_HST,34000,Undernummer: Bj 832,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,832,Historiska museet,Rundsköld - 245,https://samlingar.shm.se/object/288AFB33-A219-4B70-A731-233E683D28A5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,568940_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 832",Bj 832,"Stolpe, Hjalmar",1879,,,,,,
Gehäng,569057_HST,34000,Undernummer: Bj 834,"Cu-legering, Läder","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,834,Historiska museet,Gehäng - 246,https://samlingar.shm.se/object/68BEE569-E7C9-4AE4-B0C6-D6927027003D,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,569057_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 834",Bj 834,"Stolpe, Hjalmar",1879,,10,,,,
Rundsköld,569059_HST,34000,Undernummer: Bj 834,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,834,Historiska museet,Rundsköld - 247,https://samlingar.shm.se/object/D708F5C3-A74E-407C-A949-FFA3FC09C49F,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,569059_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 834",Bj 834,"Stolpe, Hjalmar",1879,,8,,,,
Pil,598016_HST,17343,Undernummer: 1679,Järn,Saivo,,Gällivare socken,Lappland,Sverige,,,Historiska museet,Pil - 248,https://samlingar.shm.se/object/F907580F-E89C-4277-BEEA-15CBE072E8D4,Vapen och rustningar  Arkeologisk samling,5,800 – 1500,Vikingatid  Medeltid,598016_HST,,17343,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,1923,"Plats: Saivo, Socken: Gällivare socken, Kommun: Gällivare kommun, Landskap: Lappland, Land: Sverige",,,,,,,67.5888188,20.46239004598518,46.3144754,11.0480288
Rundsköld,566280_HST,34000,Undernummer: Bj 798,"Järn, Organiskt material","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,798,Historiska museet,Rundsköld - 249,https://samlingar.shm.se/object/31980206-E9EB-451C-9D61-0718BF7C889C,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,566280_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 798",Bj 798,"Stolpe, Hjalmar",1879,,6,,,,
Svärd Petersen H/I,603124_HST,22492,Undernummer: 22,"Järn, Silver",Öde by,,Alnö socken,Medelpad,Sverige,Hög,XXII,Historiska museet,Svärd Petersen H/I - 250,https://samlingar.shm.se/object/ED7FBB9C-67D2-445E-9269-0CEAB14995DF,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,603124_HST,,22492,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22492,,1940,"Plats: Öde by, Socken: Alnö socken, Kommun: Sundsvall kommun, Landskap: Medelpad, Land: Sverige",Hög: XXII,,,,,1,47.1999217,10.6641058,46.3144754,11.0480288
Rundsköld,556053_HST,34000,Undernummer: Bj 624,"Järn, Trä","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,624,Historiska museet,Rundsköld - 251,https://samlingar.shm.se/object/5FAA59BC-E658-409B-B07A-70DA0715808E,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,556053_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 624",Bj 624,"Stolpe, Hjalmar",1878,,28,,,,
Rundsköld,556934_HST,34000,Undernummer: Bj 524,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,524,Historiska museet,Rundsköld - 252,https://samlingar.shm.se/object/B4C0D77E-6F01-42ED-B5E0-02062447BEB5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,556934_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 524",Bj 524,"Stolpe, Hjalmar",1877,,2,,,,
Spjut,584160_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Spjut - 253,https://samlingar.shm.se/object/3DB9E911-8673-4568-95A1-1C29F83AA499,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,584160_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Sköld,584214_HST,34000,Undernummer: Bj 750,"Brons, Vitmetall, Järn, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Sköld - 254,https://samlingar.shm.se/object/A1906F5B-2364-4FED-A901-73FF27FA3110,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,584214_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,10,,,,
Spjut,594913_HST,34000,Undernummer: Bj 1151,"Järn, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,1151,Historiska museet,Spjut - 255,https://samlingar.shm.se/object/929BF0EC-6851-4132-A279-EF44DEE503BB,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,594913_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 1151",Bj 1151,"Stolpe, Hjalmar",1888,,,,,,
Pil,558065_HST,34000,Undernummer: Bj 543,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,543,Historiska museet,Pil - 256,https://samlingar.shm.se/object/E7832482-1A3B-4D3B-9D1E-03D8EF9C7419,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,558065_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 543",Bj 543,"Stolpe, Hjalmar",1878,Längd 86 mm,,,,,
Spjut,581127_HST,34000,Undernummer: Bj 1125B,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,1125B,Historiska museet,Spjut - 257,https://samlingar.shm.se/object/6892EE08-1055-4177-8A07-0C304C925D93,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,581127_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 1125B",Bj 1125B,"Stolpe, Hjalmar",1888,,,,,,
Pil,581144_HST,34000,Undernummer: Bj 1125B,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,1125B,Historiska museet,Pil - 258,https://samlingar.shm.se/object/8D450A60-B4FC-406C-94C5-81CBE167FC5A,Vapen och rustningar  Arkeologisk samling,10,800 – 1100,Vikingatid,581144_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 1125B",Bj 1125B,"Stolpe, Hjalmar",1888,,19,,,,
Pil,581966_HST,34000,Undernummer: Bj 1134,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Skelettgrav,1134,Historiska museet,Pil - 259,https://samlingar.shm.se/object/79B98ABB-7B53-427F-A74E-D0C8AF1B40C5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,581966_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Skelettgrav, Grav, Obekant yttre gravskick: 1134",Bj 1134,"Stolpe, Hjalmar",1888,,,,,,
